Price,Daily Returns,Volatility,Hidden States,Detected Regime
Ticker,,,,
Datetime,,,,
2023-11-27 14:30:00+00:00,9.504882018193968e-18,-4.2445802614103956e-17,2,2
2023-11-27 15:30:00+00:00,0.13352026115542304,-4.2445802614103956e-17,2,2
2023-11-27 16:30:00+00:00,0.0027397775759649802,-4.2445802614103956e-17,2,2
2023-11-27 17:30:00+00:00,0.15522044079460717,-4.2445802614103956e-17,2,2
2023-11-27 18:30:00+00:00,-0.23337719469784393,-4.2445802614103956e-17,2,2
2023-11-27 19:30:00+00:00,-0.07727227637317462,-4.2445802614103956e-17,2,2
2023-11-27 20:30:00+00:00,-0.3933321552617491,-4.2445802614103956e-17,2,2
2023-11-28 14:30:00+00:00,-0.38277957604739404,-4.2445802614103956e-17,2,2
2023-11-28 15:30:00+00:00,1.051156784698721,-4.2445802614103956e-17,2,2
2023-11-28 16:30:00+00:00,-0.17884083745151394,-0.4366218320617292,2,2
2023-11-28 17:30:00+00:00,-0.6724807814937978,-0.4437584420718504,2,2
2023-11-28 18:30:00+00:00,-0.2736400403047385,-0.4284905184662797,2,2
2023-11-28 19:30:00+00:00,0.046413954637339626,-0.4416173833244225,2,2
2023-11-28 20:30:00+00:00,0.3082699614770864,-0.4512017174061056,2,2
2023-11-29 14:30:00+00:00,1.0963279789945486,-0.2867892786628419,2,2
2023-11-29 15:30:00+00:00,-1.022240392814182,-0.44920284458721205,2,2
2023-11-29 16:30:00+00:00,0.707124393788427,-0.3712844015882861,2,2
2023-11-29 17:30:00+00:00,0.0206161512615463,-0.38795875788076484,2,2
2023-11-29 18:30:00+00:00,-0.35250752038210426,-0.4329475229461097,2,2
2023-11-29 19:30:00+00:00,-1.1032650443060357,-0.40832486195984347,2,2
2023-11-29 20:30:00+00:00,0.07545195392473918,-0.4251342014811672,2,2
2023-11-30 14:30:00+00:00,0.075400116533167,-0.43478025074840315,2,2
2023-11-30 15:30:00+00:00,-0.34620843637598114,-0.39640820033334423,2,2
2023-11-30 16:30:00+00:00,-0.6592082396696415,-0.27815990074380686,2,2
2023-11-30 17:30:00+00:00,-0.011817266059319263,-0.344683615343818,2,2
2023-11-30 18:30:00+00:00,0.47502373652913077,-0.4381576030590179,2,2
2023-11-30 19:30:00+00:00,-0.2359206203425726,-0.43557546294940563,2,2
2023-11-30 20:30:00+00:00,1.5387200948938513,-0.26104894343114027,2,2
2023-12-01 14:30:00+00:00,-0.49738091243167,-0.3714765765691611,2,2
2023-12-01 15:30:00+00:00,1.2212675707777139,-0.013590905151946914,2,2
2023-12-01 16:30:00+00:00,1.0031703485852774,0.41374338527994226,2,2
2023-12-01 17:30:00+00:00,-0.3184095917655404,0.09367431723538085,2,2
2023-12-01 18:30:00+00:00,0.07430043407155358,0.0011147981251408469,2,2
2023-12-01 19:30:00+00:00,0.17510173807170973,-0.07495057222803901,2,2
2023-12-01 20:30:00+00:00,-0.0662675600889387,-0.23105618276719142,2,2
2023-12-04 14:30:00+00:00,-3.09437385419011,-0.04980510764897172,2,2
2023-12-04 15:30:00+00:00,0.12979740632258724,-0.10034989383008763,2,2
2023-12-04 16:30:00+00:00,0.8063335609782607,-0.3712483715596978,2,2
2023-12-04 17:30:00+00:00,-0.3426934556340067,-0.29875992816597635,2,2
2023-12-04 18:30:00+00:00,-0.06997235190650501,-0.3260624539448538,2,2
2023-12-04 19:30:00+00:00,0.08230872573906046,-0.39881669328700786,2,2
2023-12-04 20:30:00+00:00,0.4156891789915948,-0.4521915148668409,2,2
2023-12-05 14:30:00+00:00,-0.2726887760330623,-0.4514126201668577,2,2
2023-12-05 15:30:00+00:00,-0.1350980111901932,-0.4522627501039301,2,2
2023-12-05 16:30:00+00:00,-0.051851321014562926,-0.4452158711129231,2,2
2023-12-05 17:30:00+00:00,-0.015635746651106657,-0.44883051065585394,2,2
2023-12-05 18:30:00+00:00,0.045949526395721085,-0.44883003787134645,2,2
2023-12-05 19:30:00+00:00,-0.012028332975053438,-0.4477472337045938,2,2
2023-12-05 20:30:00+00:00,-0.019281959024445638,-0.44849320265604853,2,2
2023-12-06 14:30:00+00:00,0.3355579381127062,-0.4237410740729092,2,2
2023-12-06 15:30:00+00:00,-0.2580246042466785,-0.44666563595218955,2,2
2023-12-06 16:30:00+00:00,-0.4715301497703401,-0.4485099996755082,2,2
2023-12-06 17:30:00+00:00,0.03508578158232525,-0.4514884425970285,2,2
2023-12-06 18:30:00+00:00,-0.41040259523631367,-0.43060365054240135,2,2
2023-12-06 19:30:00+00:00,-0.7116784633723886,-0.33064977064845613,2,2
2023-12-06 20:30:00+00:00,-0.2625402863410502,-0.30739766123258777,2,2
2023-12-07 14:30:00+00:00,2.307216357563498,-0.273901672449756,2,2
2023-12-07 15:30:00+00:00,-0.6978888105495689,-0.4207357388176312,2,2
2023-12-07 16:30:00+00:00,0.7979275858066742,-0.2584771487006077,2,2
2023-12-07 17:30:00+00:00,-0.17089865673040527,-0.31267947718589206,2,2
2023-12-07 18:30:00+00:00,0.39914593207685295,-0.21396955838548698,2,2
2023-12-07 19:30:00+00:00,-0.3581506065751146,-0.34561980166624096,2,2
2023-12-07 20:30:00+00:00,-0.12758853575245693,-0.38789211077732183,2,2
2023-12-08 14:30:00+00:00,1.1421026304848576,-0.1143529097020216,2,2
2023-12-08 15:30:00+00:00,-0.8914855811553357,-0.41845609231297626,2,2
2023-12-08 16:30:00+00:00,0.018748733377774163,-0.441384242169226,2,2
2023-12-08 17:30:00+00:00,0.41286651542439684,-0.39728696909485484,2,2
